cali8b_after_180_150_1.ptu	 	 	cali8b_after_3.ptu	 	 	cali8b_after_2.ptu	 	 	cali8b_after_1.ptu	 	 	calib_12.3uW_7.ptu	 	 	calib_12.3uW_6.ptu	 	 	calib_12.3uW_5.ptu	 	 	calib_12.3uW_4.ptu	 	 	calib_12.3uW_3.ptu	 	 	calib_12.3uW_2.ptu	 	 	calib_12.3uW_1.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0541495668034656	1.03248594746896	0.00770430581895557	0.0541491336138622	1.0379118236114	0.00697265352982962	0.0541491336138622	1.02567910909832	0.00505424302727463	0.0541491336138622	1.07881287657029	0.00461043657095877	0.0541491336138622	1.26015832885023	0.00910495295358031	0.0541495668034656	1.29051214231465	0.00505646864944588	0.0541495668034656	1.3045020511739	0.00531125751650639	0.0541495668034656	1.2949799001238	0.00534953218631205	0.0541491336138622	1.29743760097564	0.00440837527959422	0.0541491336138622	1.29431324967247	0.00777662928242815	0.0541495668034656	1.54191682929173	0.0035143243890481
0.0605495156038752	0.961030634130133	0.00787603056659734	0.0605490312155005	0.966605116664454	0.00764124831391248	0.0605490312155005	0.954179541374621	0.00541630611886414	0.0605490312155005	0.980684333207127	0.00873973409575747	0.0605490312155005	1.15363808727127	0.00654849938571039	0.0605495156038752	1.18256054022985	0.0101197270849454	0.0605495156038752	1.1929598436535	0.00672200566126235	0.0605495156038752	1.18922204057292	0.00976640973592427	0.0605490312155005	1.18285329043249	0.00680152502868962	0.0605490312155005	1.18193123923336	0.00830497482442645	0.0605495156038752	1.40747629692051	0.00422458883926426
0.0701494388044896	0.845323643652279	0.00569010833880788	0.0701488776179581	0.85272210662526	0.00323235820082118	0.0701488776179581	0.839535430597582	0.00565821865563561	0.0701488776179581	0.878576766483793	0.00428378270103047	0.0701488776179581	1.02695728298084	0.00626259362035909	0.0701494388044896	1.04370362187407	0.00600265190973702	0.0701494388044896	1.05062548740524	0.00370734270395872	0.0701494388044896	1.06418798537614	0.00823389672533132	0.0701488776179581	1.06947892647743	0.0101775098393963	0.0701488776179581	1.05647540754169	0.00586921639550729	0.0701494388044896	1.24992661465991	0.0064561382119289
0.0829493364053088	0.731564209265512	0.00264205807468166	0.0829486728212349	0.74359060016049	0.0030437054911486	0.0829486728212349	0.736896306831349	0.00559517982364471	0.0829486728212349	0.760133343744535	0.00214563883600043	0.0829486728212349	0.899982938622468	0.00758935162422079	0.0829493364053088	0.907265213148326	0.00435979798311701	0.0829493364053088	0.921191626409567	0.00212981954730604	0.0829493364053088	0.921485523352562	0.00698468249289162	0.0829486728212349	0.932646545805	0.0101817267695935	0.0829486728212349	0.923516693933236	0.00729680230210838	0.0829493364053088	1.08306166735903	0.00614533172603746
0.0957492340061279	0.646942351164665	0.0060389875511648	0.0957484680245116	0.651616773172374	0.00620327040080464	0.0957484680245116	0.650272736043405	0.00587673245306044	0.0957484680245116	0.674627071983658	0.00432005290872916	0.0957484680245116	0.789977353998254	0.00717244454132644	0.0957492340061279	0.809420983545995	0.0048636073720193	0.0957492340061279	0.804638780627165	0.00480490553797912	0.0957492340061279	0.813288161024961	0.00511874054153147	0.0957484680245116	0.824380999762334	0.00913727745781916	0.0957484680245116	0.819910235663328	0.00742990482025232	0.0957492340061279	0.953916858560993	0.00436518407669612
0.108549131606947	0.584985149420798	0.00489918628427425	0.108548263227788	0.586000096709845	0.00571078488887119	0.108548263227788	0.584653779022918	0.00308505562223403	0.108548263227788	0.600815628185613	0.00397828856688412	0.108548263227788	0.695668829018501	0.00767234198649971	0.108549131606947	0.718448454713999	0.00533936863704652	0.108549131606947	0.724848135134547	0.00809503035007894	0.108549131606947	0.733928692846999	0.00612278040805331	0.108548263227788	0.726274792016391	0.00488560996897612	0.108548263227788	0.720713700306038	0.0093331902158299	0.108549131606947	0.855311487109815	0.0068036982141012
0.121349029207766	0.519622749458905	0.00366620158709496	0.121348058431065	0.525933125878901	0.00514329798773646	0.121348058431065	0.524523045047342	0.00193377506477562	0.121348058431065	0.543178699654831	0.00452952082388536	0.121348058431065	0.637309438361457	0.00856114899458094	0.121349029207766	0.642523927310991	0.00275298260132351	0.121349029207766	0.653812828542447	0.00478926798484859	0.121349029207766	0.660491949232815	0.010982406406551	0.121348058431065	0.65196638528134	0.008800173432391	0.121348058431065	0.651856760167039	0.00585831599038038	0.121349029207766	0.770580266452047	0.00674215245931761
0.140548875608995	0.452010734868028	0.00313608891228417	0.14054775123598	0.455043706813253	0.00394282102678201	0.14054775123598	0.451250225476537	0.00294229706030709	0.14054775123598	0.472660675279786	0.00314239269117017	0.14054775123598	0.555041503851277	0.00642232460355324	0.140548875608995	0.565024145606182	0.00298144430967113	0.140548875608995	0.566001468504713	0.0051970051695706	0.140548875608995	0.576099783526772	0.00654784769123476	0.14054775123598	0.557553621585488	0.00355101642012444	0.14054775123598	0.563599672317255	0.00678850226447406	0.140548875608995	0.668212082197884	0.00774645803513302
0.166148670810634	0.389040709127845	0.00229992563522718	0.166147341642534	0.387611422084189	0.00253079344331884	0.166147341642534	0.377954345657134	0.00413268169234455	0.166147341642534	0.392244507926953	0.00204761332150779	0.166147341642534	0.476978001404772	0.00678292395597894	0.166148670810634	0.474471099144119	0.00341021170837805	0.166148670810634	0.476302027758282	0.00511609271363082	0.166148670810634	0.483542492769236	0.00338460911804644	0.166147341642534	0.481660121982138	0.0031136408898353	0.166147341642534	0.485749844712027	0.00494608804048981	0.166148670810634	0.573062906388026	0.00554458063636738
0.191748466012272	0.340073547782473	0.0024885236178305	0.191746932049087	0.333607974161649	0.00412248320925647	0.191746932049087	0.32901365101785	0.00368549526052121	0.191746932049087	0.34122578389003	0.00372491603407701	0.191746932049087	0.420815373274378	0.00659436653130862	0.191748466012272	0.406522049414681	0.00375900607350994	0.191748466012272	0.407084760078797	0.00420474542690673	0.191748466012272	0.417432605127633	0.00825688798611215	0.191746932049087	0.415588257726179	0.0039862419720281	0.191746932049087	0.42714648644767	0.00425792028152304	0.191748466012272	0.49050817791494	0.00336958366645724
